Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
157,0.09942,-0.49702,0.95244,-0.35838,-0.07699,-0.06297,0.10156,-0.56713,1.08803,-0.42395,-0.07844,-0.06458
158,0.10666,-0.49738,0.95532,-0.36127,-0.08257,-0.06759,0.11049,-0.59832,1.15417,-0.45936,-0.08534,-0.07027
159,0.11305,-0.49854,0.96011,-0.36524,-0.0875,-0.07167,0.11904,-0.63256,1.22698,-0.49842,-0.09195,-0.07573
160,0.11862,-0.50023,0.96595,-0.36972,-0.0918,-0.07524,0.12712,-0.66672,1.29983,-0.5376,-0.09819,-0.08088
161,0.12343,-0.50211,0.97201,-0.37418,-0.09551,-0.07831,0.13458,-0.69825,1.36731,-0.57404,-0.10395,-0.08564
162,0.12748,-0.50387,0.97746,-0.37812,-0.09863,-0.08091,0.14118,-0.72499,1.42482,-0.60525,-0.10905,-0.08985
163,0.13079,-0.50518,0.98149,-0.38105,-0.10117,-0.08303,0.14664,-0.74501,1.46819,-0.62899,-0.11327,-0.09334
164,0.13336,-0.5057,0.98329,-0.3825,-0.10315,-0.08469,0.15065,-0.75644,1.49333,-0.643,-0.11637,-0.0959
165,0.1352,-0.50522,0.98236,-0.38217,-0.10456,-0.08587,0.15296,-0.75812,1.49774,-0.6459,-0.11816,-0.09736
166,0.13639,-0.50471,0.98124,-0.38163,-0.10547,-0.08664,0.15432,-0.7576,1.4975,-0.64628,-0.11923,-0.09822
167,0.13697,-0.50449,0.98071,-0.38137,-0.10591,-0.08702,0.15499,-0.75714,1.49741,-0.64671,-0.11975,-0.09864
168,0.13694,-0.50455,0.98078,-0.38137,-0.10588,-0.08701,0.15496,-0.75674,1.49748,-0.64718,-0.11975,-0.0986
169,0.1363,-0.5049,0.98144,-0.38165,-0.10538,-0.08661,0.15424,-0.7564,1.49771,-0.64769,-0.11921,-0.09812
170,0.13504,-0.50552,0.98269,-0.38219,-0.1044,-0.08582,0.15282,-0.75614,1.49809,-0.64823,-0.11813,-0.09719
171,0.13316,-0.50643,0.98453,-0.38299,-0.10294,-0.08462,0.15069,-0.75596,1.49862,-0.64878,-0.1165,-0.09581
172,0.13063,-0.50762,0.98696,-0.38406,-0.10098,-0.08301,0.14782,-0.75584,1.49929,-0.64935,-0.1143,-0.09395
173,0.12742,-0.5091,0.98997,-0.38539,-0.0985,-0.08097,0.14418,-0.75581,1.50008,-0.64991,-0.11151,-0.0916
174,0.12348,-0.51036,0.99228,-0.38619,-0.09545,-0.07846,0.13938,-0.75217,1.49308,-0.64622,-0.10782,-0.08851
175,0.11871,-0.51061,0.99177,-0.38514,-0.09176,-0.07542,0.13287,-0.73862,1.46476,-0.63101,-0.10281,-0.08433
176,0.11309,-0.51014,0.98915,-0.38267,-0.08742,-0.07184,0.12494,-0.71691,1.4189,-0.60636,-0.09671,-0.07925
177,0.10659,-0.50928,0.98523,-0.37926,-0.0824,-0.06771,0.1159,-0.68892,1.35957,-0.57448,-0.08973,-0.07346
178,0.09919,-0.50835,0.98078,-0.37537,-0.07667,-0.063,0.10598,-0.65659,1.29096,-0.53766,-0.08209,-0.06713
179,0.09083,-0.50765,0.9766,-0.37149,-0.0702,-0.05768,0.09538,-0.62209,1.21772,-0.49839,-0.0739,-0.06036
180,0.08145,-0.50749,0.97347,-0.36813,-0.06295,-0.05172,0.08416,-0.58803,1.14538,-0.45962,-0.06524,-0.05322
181,0.07098,-0.50811,0.97217,-0.36582,-0.05485,-0.04508,0.07238,-0.55759,1.08072,-0.42494,-0.05613,-0.04573
182,0.05953,-0.50967,0.97334,-0.36506,-0.04599,-0.03782,0.06012,-0.53466,1.03194,-0.39869,-0.04666,-0.03795
183,0.04728,-0.51228,0.97757,-0.36636,-0.03651,-0.03005,0.04754,-0.52358,1.00824,-0.38575,-0.03692,-0.02997
